ori,agency_type_name,EDITED,agency_name [EDIT THIS COLUMN],pub_agency_name,icpsr_name
AK0010100,City,,Anchorage Police Department,Anchorage,Anchorage Police Department
AK0010200,City,,Fairbanks Police Department,Fairbanks,Fairbanks Police Dept.
AK0010300,City,,Juneau Police Department,Juneau,Juneau Police Dept.
AK0010400,City,,Ketchikan Police Department,Ketchikan,Ketchikan Police Dept.
AK0010500,City,,Kodiak Police Department,Kodiak,Kodiak Police Dept.
AK0010600,City,,Nome Police Department,Nome,Nome Police Dept.
AK0010700,City,,Petersburg Police Department,Petersburg,Petersburg Police Dept.
AK0010800,City,,Seward Police Department,Seward,Seward Police Dept
AK0010900,City,,Sitka Police Department,Sitka,Sitka Police Dept
AK0011000,City,,Skagway Police Department,Skagway,Skagway Police Dept
AK0011100,City,,Wrangell Police Department,Wrangell,Wrangell Police Dept.
AK0011200,City,,Valdez Police Department,Valdez,Valdez Police Dept.
AK0011300,City,,Bethel Police Department,Bethel,Bethel Police Dept.
AK0011400,City,,Cordova Police Department,Cordova,Cordova Dept. Of Public Safety
AK0011600,City,,Kotzebue Police Department,Kotzebue,Kotzebue Police Dept.
AK0011700,City,,Palmer Police Department,Palmer,Palmer Police Dept.
AK0011800,City,,North Slope Borough Police Department,North Slope Borough,North Slope Borough Police Dept.
AK0011900,City,,Seldovia Police Department,Seldovia,Seldovia Police Dept.
AK0012000,City,,Soldotna Police Department,Soldotna,Soldotna Police Dept.
AK0012100,City,,Haines Police Department,Haines,Haines Police Dept
AK0012200,City,,Homer Police Department,Homer,Homer Police Dept.
AK0012300,City,,Kenai Police Department,Kenai,Kenai Police Dept.
AK0012400,City,,Spenard Service District Police Department,Spenard Service District,Anchorage PD
AK0012500,Tribal,X,Metlakatla Tribal Police Department,Metlakatla Tribal,Metlakatla Tribal Police Dept.
AK0012600,Other,,Fairbanks International Airport,Fairbanks International Airport,Fairbanks International Airport Police
AK0012700,Other,,Anchorage International Airport,Anchorage International Airport,Anchorage International Airport Police
AK0012800,City,,Whittier Police Department,Whittier,Whittier Police Dept.
AK0013000,City,,Dillingham Police Department,Dillingham,Dillingham Police Dept.
AK0013100,City,,Hoonah Police Department,Hoonah,Hoonah Dept Of Public Safety
AK0013200,City,,North Pole Police Department,North Pole,North Pole Police Dept.
AK0013300,City,,Unalaska Police Department,Unalaska,Unalaska Dept Of Public Safety
AK0013500,City,,Klawock Police Department,Klawock,Klawock Police Dept.
AK0014200,University or College,,University of Alaska: Fairbanks,University of Alaska: Fairbanks,University Of Alaska - Fairbanks Police
AK0014300,University or College,,University of Alaska: Anchorage,University of Alaska: Anchorage,University Of Alaska - Anchorage Police
AK0014500,City,,Craig Police Department,Craig,Craig Police Dept
AK0014600,City,,Bristol Bay Borough Police Department,Bristol Bay Borough,Bristol Bay Borough Police Dept.
AK0014700,City,,Kake Police Department,Kake,Kake Police Dept.
AK0014900,City,,Nenana Police Department,Nenana,Dps Nenana
AK0015000,City,,St. Paul Police Department,St. Paul,Saint Paul Police Dept.
AK0015200,City,,Sand Point Police Department,Sand Point,Sand Point Police Dept
AK0015400,City,,Togiak Police Department,Togiak,Togiak Police Dept.
AK0015600,City,,Wasilla Police Department,Wasilla,Wasilla Police Dept.
AK0016300,City,,Anvik Police Department,Anvik,Anvik Police Department
AK0016400,City,,Emmonak Police Department,Emmonak,Emmonak City Police Dept
AK0016600,City,,Houston Police Department,Houston,Houston Police Department
AK020045Y,Other State Agency,,Alcohol Beverage Control Board,Alcohol Beverage Control Board,
AKASP0000,State Police,,Alaska State Troopers,Alaska State Troopers,Alaska State Troopers
AKAST0000,State Police,,"State Troopers, Juneau","State Troopers, Juneau",St Troopers Juneau
AKAST0100,State Police,,State Troopers,State Troopers,Ak Dps Alaska State Troopers
AKAST0600,State Police,,"State Troopers, Bethel","State Troopers, Bethel",St Troopers Bethel
AKAST1500,State Police,,"State Troopers Headquarters, Anchorage","State Troopers Headquarters, Anchorage",Alaska State Troopers
AKDI00100,Unknown,X,Katmai National Monument,Katmai Nm,
AKDI00200,Unknown,X,Mount McKinley National Park,Mount McKinley Np,
AKDI00300,Unknown,,Sitka Nhp,Sitka Nhp,
AKDI00400,Unknown,X,Glacier Bay National Monument,Glacier Bay Nm,
AL0010000,County,,Jefferson County Sheriff's Department,Jefferson,Jefferson County Sheriff's Office
AL0010100,City,,Bessemer Police Department,Bessemer,Bessemer Police Department
AL0010200,City,,Birmingham Police Department,Birmingham,Birmingham Police Department
AL0010300,City,,Mountain Brook Police Department,Mountain Brook,Mountain Brook Police Department
AL0010400,City,,Fairfield Police Department,Fairfield,Fairfield Police Department
AL0010500,City,,Gardendale Police Department,Gardendale,Gardendale Police Department
AL0010600,City,,Leeds Police Department,Leeds,Leeds Police Department
AL0010700,City,,Midfield Police Department,Midfield,Midfield Police Department
AL0010800,City,,Tarrant Police Department,Tarrant,Tarrant Police Department
AL0010900,City,,Vestavia Hills Police Department,Vestavia Hills,Vestavia Hills Police Department
AL0011000,City,,Homewood Police Department,Homewood,Homewood Police Department
AL0011100,City,,Fultondale Police Department,Fultondale,Fultondale Police Department
AL0011200,City,,Hoover Police Department,Hoover,Hoover Police Department
AL0011300,City,,Irondale Police Department,Irondale,Irondale Police Department
AL0011400,City,,Pleasant Grove Police Department,Pleasant Grove,Pleasant Grove Police Department
AL0011500,City,,Roosevelt City Police Department,Roosevelt City,Roosevelt PD
AL0011600,City,,Graysville Police Department,Graysville,Graysville PD
AL0011700,City,,Brownsville Police Department,Brownsville,Brownsville PD
AL0011800,City,,Brighton Police Department,Brighton,Brighton Police Department
AL0011900,City,,Hueytown Police Department,Hueytown,Hueytown Police Department
AL0012000,City,,Lipscomb Police Department,Lipscomb,Lipscomb Police Department
AL0012100,City,,Trussville Police Department,Trussville,Trussville Police Department
AL0012200,City,,Adamsville Police Department,Adamsville,Adamsville Police Department
AL0012300,City,,Warrior Police Department,Warrior,Warrior Police Department
AL0012400,University or College,,University of Alabama: Birmingham,University of Alabama: Birmingham,University Of Alabama - Birmingham Police Dept
AL0012500,City,,Trafford Police Department,Trafford,Trafford Police Department
AL0012600,City,,Morris Police Department,Morris,Morris Police Department
AL0012700,City,,Brookside Police Department,Brookside,Brookside Police Department
AL0012800,City,,Cardiff Police Department,Cardiff,Cardiff PD
AL0012900,City,,Kimberly Police Department,Kimberly,Kimberly Police Department
AL0013000,City,,County Line Police Department,County Line,County Line PD Trafford
AL0013200,Other State Agency,,Tannehill Ironworks Historic State Park,Tannehill Ironworks Historic State Park,Tannehill Ironworks Hist St Park Rangers
AL0013400,University or College,,Jefferson State Community College,Jefferson State Community College,Jefferson State Community College Police Departmen
AL0013500,Other,,Norfolk Southern Railway,Norfolk Southern Railway,Norfolk Southern Railway
AL0014100,University or College,,Samford University,Samford University,Samford University
AL0014500,Other,,Trussville Fire Department Fire and Explosion Investigation Unit,Trussville Fire Department Fire and Explosion Investigation Unit,Fire And Explosion Invest Unit Trussville Fire
AL0020000,County,,Mobile County Sheriff's Department,Mobile,Mobile County Sheriff's Office
AL0020100,City,,Mobile Police Department,Mobile,Mobile Police Department
AL0020200,City,,Prichard Police Department,Prichard,Prichard Police Department
AL0020300,City,,Chickasaw Police Department,Chickasaw,Chickasaw Police Department
AL0020400,City,,Citronelle Police Department,Citronelle,Citronelle Police Department
AL0020500,City,,Saraland Police Department,Saraland,Saraland Police Department
AL0020600,City,,Bayou La Batre Police Department,Bayou La Batre,Bayou La Batre Police Department
AL0020700,City,,Satsuma Police Department,Satsuma,Satsuma Police Department
AL0020800,City,,Mount Vernon Police Department,Mount Vernon,Mount Vernon Police Department
AL0020900,City,,Wilmer Police Department,Wilmer,Wilmer PD
AL0021200,City,,Creola Police Department,Creola,Creola Police Department
AL0021300,Other,,Mobile Regional Airport,Mobile Regional Airport,Mobile Airport Police Department
AL0021400,University or College,,University of South Alabama,University of South Alabama,University Of South Alabama Police Department
AL0021500,City,,Dauphin Island Police Department,Dauphin Island,Dauphin Island Police Department
AL0021700,University or College,,Bishop State Community College,Bishop State Community College,Bishop State Community College Police
AL0030000,County,,Montgomery County Sheriff's Department,Montgomery,Montgomery County Sheriff's Office
AL0030100,City,,Montgomery Police Department,Montgomery,Montgomery Police Department
AL0030300,Other State Agency,,Alabama Conservation Department Marine Police,Alabama Conservation Department Marine Police,Alabama Department Of Conservation - Marine Police
AL0030400,Other State Agency,,Alabama Alcoholic Beverage Control Board,Alabama Alcoholic Beverage Control Board,Alabama Alcoholic Beverage Control Board
AL0030500,Other State Agency,,Alabama Department of Mental Health,Alabama Department of Mental Health,Al Mental Hlth Bureau Of Special Investigations
AL0030600,University or College,,Alabama State University,Alabama State University,Alabama State University Police
AL0030700,University or College,,Auburn University: Montgomery,Auburn University: Montgomery,Auburn University-Montgomery Police Department
AL0030800,Other State Agency,,Alabama Public Service Commission Enforcement Division,Alabama Public Service Commission Enforcement Division,Al Public Service Comm Enforcemt Div Montgomery
AL0031000,Other State Agency,,Alabama Forestry Commission Law Enforcement Section,Alabama Forestry Commission Law Enforcement Section,Al Forestry Comm Law Enfor Sect Montgomery
AL0031300,Other State Agency,,State Capitol Police,State Capitol Police,Alabama Capitol Police Department
AL0031400,Other State Agency,,State Fire Marshal,State Fire Marshal,St Fire Marshals Off Montgomery
AL0031800,Other State Agency,,Liquefied Petroleum Gas Board,Liquefied Petroleum Gas Board,Al Liquefied Petro Gas Board Montgomery
AL0031900,Other,,City of Montgomery Housing Authority Investigative Unit,City of Montgomery Housing Authority Investigative Unit,Housing Authority Investigative Unit Montgomery
AL0032000,Other State Agency,,Alabama Criminal Justice Information Center Investigative Unit,Alabama Criminal Justice Information Center Investigative Unit,Acjic Investigative Unit
AL0032200,Other,,Baptist Medical Center,Baptist Medical Center,Trenholm Campus Police Department
AL0032500,Other State Agency,,"Department of Conservation, Montgomery","Department of Conservation, Montgomery",Wildlife & Freshwater Fish Dept Of Con & Nat Re
AL0032600,Other State Agency,,"Department of Public Safety, Montgomery","Department of Public Safety, Montgomery",Alabama Department Of Public Safety
AL003FA00,University or College,,Faulkner University,Faulkner University,Faulkner University
AL0040000,County,,Autauga County Sheriff's Department,Autauga,Autauga County Sheriff's Office
AL0040100,City,,Prattville Police Department,Prattville,Prattville Police Department
AL0040200,City,,Autaugaville Police Department,Autaugaville,Autaugaville Police Department
AL0050000,County,,Baldwin County Sheriff's Department,Baldwin,Baldwin County Sheriff's Office
AL0050100,City,,Bay Minette Police Department,Bay Minette,Bay Minette Police Department
AL0050200,City,,Fairhope Police Department,Fairhope,Fairhope Police Department
AL0050300,City,,Foley Police Department,Foley,Foley Police Department
AL0050400,City,,Gulf Shores Police Department,Gulf Shores,Gulf Shores Police Department
AL0050500,City,,Robertsdale Police Department,Robertsdale,Robertsdale Police Department
AL0050600,City,,Loxley Police Department,Loxley,Loxley Police Department
AL0050700,City,,Silverhill Police Department,Silverhill,Silverhill Police Department
AL0050800,City,,Daphne Police Department,Daphne,Daphne Police Department
AL0050900,City,,Summerdale Police Department,Summerdale,Summerdale Police Department
AL0051000,City,,Elberta Police Department,Elberta,Elberta Police Department
AL0051100,University or College,,Faulkner State Community College,Faulkner State Community College,Faulkner State Community College Police Dept
AL0051200,City,,Orange Beach Police Department,Orange Beach,Orange Beach Police Department
AL0051300,City,,Spanish Fort Police Department,Spanish Fort,Spanish Fort Police Department
AL0060000,County,,Barbour County Sheriff's Department,Barbour,Barbour County Sheriff's Office
AL0060100,City,,Eufaula Police Department,Eufaula,Eufaula Police Department
AL0060200,City,,Clayton Police Department,Clayton,Clayton Police Department
AL0060300,City,,Clio Police Department,Clio,Clio Police Department
AL0060400,City,,Louisville Police Department,Louisville,Louisville Police Department
AL0060700,City,,Baker Hill Police Department,Baker Hill,Baker Hill Police Department
AL0070000,County,,Bibb County Sheriff's Department,Bibb,Bibb County Sheriff's Office
AL0070100,City,,Centreville Police Department,Centreville,Centreville Police Department
AL0070200,City,,Brent Police Department,Brent,Brent Police Department
AL0070300,City,,West Blocton Police Department,West Blocton,West Blocton Police Department
AL0070400,City,,Woodstock Police Department,Woodstock,Woodstock Police Department
AL0080000,County,,Blount County Sheriff's Department,Blount,Blount County Sheriff's Office
AL0080100,City,,Oneonta Police Department,Oneonta,Oneonta Police Department
AL0080200,City,,Blountsville Police Department,Blountsville,Blountsville Police Department
AL0080300,City,,Cleveland Police Department,Cleveland,Cleveland Police Department
AL0080400,City,,Snead Police Department,Snead,Snead Police Department
AL0080500,City,,Highland Lake Police Department,Highland Lake,Highland Lake Police Dept
AL0090000,County,,Bullock County Sheriff's Department,Bullock,Bullock County Sheriff's Office
AL0090100,City,,Union Springs Police Department,Union Springs,Union Springs Police Department
AL0100000,County,,Butler County Sheriff's Department,Butler,Butler County Sheriff's Office
AL0100100,City,,Greenville Police Department,Greenville,Greenville Police Department
AL0100200,City,,Georgiana Police Department,Georgiana,Georgiana Police Department
AL0100300,City,,McKenzie Police Department,McKenzie,Mckenzie Police Department
AL0110000,County,,Calhoun County Sheriff's Department,Calhoun,Calhoun County Sheriff's Office
AL0110100,City,,Anniston Police Department,Anniston,Anniston Police Department
AL0110200,City,,Jacksonville Police Department,Jacksonville,Jacksonville Police Department
AL0110300,City,,Piedmont Police Department,Piedmont,Piedmont Police Department
AL0110400,City,,Weaver Police Department,Weaver,Weaver Police Department
AL0110500,City,,Oxford Police Department,Oxford,Oxford Police Department
AL0110600,City,,Hobson City Police Department,Hobson City,Hobson City PD Anniston
AL0110700,City,,Ohatchee Police Department,Ohatchee,Ohatchee Police Department
AL0110800,University or College,,Jacksonville State University,Jacksonville State University,Jacksonville State University Police Department
AL0120000,County,,Chambers County Sheriff's Department,Chambers,Chambers County Sheriff's Office
AL0120100,City,,Lafayette Police Department,Lafayette,Lafayette Police Department
AL0120200,City,,Lanett Police Department,Lanett,Lanett Police Department
AL0120400,City,,Valley Police Department,Valley,Valley Police Department
AL0130000,County,,Cherokee County Sheriff's Department,Cherokee,Cherokee County Sheriff's Office
AL0130100,City,,Centre Police Department,Centre,Centre Police Department
AL0130200,City,,Cedar Bluff Police Department,Cedar Bluff,Cedar Bluff Police Department
AL0130300,City,,Leesburg Police Department,Leesburg,Leesburg Police Department
AL0140000,County,,Chilton County Sheriff's Department,Chilton,Chilton County Sheriff's Office
AL0140100,City,,Clanton Police Department,Clanton,Clanton Police Department
AL0140200,City,,Maplesville Police Department,Maplesville,Maplesville Police Department
AL0140300,City,,Jemison Police Department,Jemison,Jemison Police Department
AL0140400,City,,Thorsby Police Department,Thorsby,Thorsby Police Department
AL0150000,County,,Choctaw County Sheriff's Department,Choctaw,Choctaw County Sheriff's Office
AL0150100,City,,Butler Police Department,Butler,Butler Police Department
AL0150200,City,,Gilbertown Police Department,Gilbertown,Gilbertown Police Department
AL0150300,City,,Pennington Police Department,Pennington,Pennington Police Department
AL0150400,City,,Silas Police Department,Silas,Silas Police Dept
AL0150500,City,,Toxey Police Department,Toxey,Toxey Police Department
AL0160000,County,,Clarke County Sheriff's Department,Clarke,Clarke County Sheriff's Office
AL0160100,City,,Jackson Police Department,Jackson,Jackson Police Department
AL0160200,City,,Thomasville Police Department,Thomasville,Thomasville Police Department
AL0160300,City,,Grove Hill Police Department,Grove Hill,Grove Hill Police Department
AL0160400,City,,Fulton Police Department,Fulton,Fulton Police Department
AL0160600,City,,Coffeeville Police Department,Coffeeville,Coffeeville Police Department
AL0170000,County,,Clay County Sheriff's Department,Clay,Clay County Sheriff's Office
AL0170100,City,,Ashland Police Department,Ashland,Ashland Police Department
AL0170200,City,,Lineville Police Department,Lineville,Lineville Police Department
AL0180000,County,,Cleburne County Sheriff's Department,Cleburne,Cleburne County Sheriff's Office
AL0180100,City,,Heflin Police Department,Heflin,Heflin Police Department
AL0180200,City,,Ranburne Police Department,Ranburne,Ranburne Police Department
AL0190000,County,,Coffee County Sheriff's Department,Coffee,Coffee County Sheriff's Office
AL0190100,City,,Elba Police Department,Elba,Elba Police Department
AL0190200,City,,Enterprise Police Department,Enterprise,Enterprise Police Department
AL0190300,City,,New Brockton Police Department,New Brockton,New Brockton Police Department
AL0190400,City,,Kinston Police Department,Kinston,Kinston Police Department
AL0190500,University or College,,Enterprise State Junior College,Enterprise State Junior College,Enterprise St Jr Coll Campus PD Enterprise
AL0200000,County,,Colbert County Sheriff's Department,Colbert,Colbert County Sheriff's Office
AL0200100,City,,Sheffield Police Department,Sheffield,Sheffield Police Department
AL0200200,City,,Tuscumbia Police Department,Tuscumbia,Tuscumbia Police Department
AL0200300,City,,Muscle Shoals Police Department,Muscle Shoals,Muscle Shoals Police Department
AL0200400,City,,Cherokee Police Department,Cherokee,Cherokee Police Department
AL0200500,City,,Leighton Police Department,Leighton,Leighton Police Department
AL0200600,City,,Littleville Police Department,Littleville,Littleville Police Department
AL0200800,University or College,,Northwest-Shoals Community College,Northwest-Shoals Community College,Northwest Shoals Community College Police
AL0210000,County,,Conecuh County Sheriff's Department,Conecuh,Conecuh County Sheriff's Office
AL0210100,City,,Evergreen Police Department,Evergreen,Evergreen Police Department
AL0210200,City,,Castleberry Police Department,Castleberry,Castleberry PD
AL0210300,City,,Repton Police Department,Repton,Repton Police Dept
AL0220000,County,,Coosa County Sheriff's Department,Coosa,Coosa County Sheriff's Office
AL0220100,City,,Goodwater Police Department,Goodwater,Goodwater Police Department
AL0220200,City,,Rockford Police Department,Rockford,Rockford Police Department
AL0230000,County,,Covington County Sheriff's Department,Covington,Covington County Sheriff's Office
AL0230100,City,,Andalusia Police Department,Andalusia,Andalusia Police Dept.
AL0230200,City,,Opp Police Department,Opp,Opp Police Department
AL0230300,City,,Florala Police Department,Florala,Florala Police Department
AL0230400,City,,Gantt Police Department,Gantt,Gantt PD
AL0230500,City,,Red Level Police Department,Red Level,Red Level Police Dept
AL0230600,City,,Lockhart Police Department,Lockhart,Lockhart Police Department
AL0230700,City,,River Falls Police Department,River Falls,River Falls Police Dept
AL0230800,Other,,22nd Judicial Circuit Drug Task Force,22nd Judicial Circuit Drug Task Force,22nd Judicial Circuit Drug Task Force
AL0240000,County,,Crenshaw County Sheriff's Department,Crenshaw,Crenshaw County Sheriff's Office
AL0240100,City,,Luverne Police Department,Luverne,Luverne Police Department
AL0240200,City,,Brantley Police Department,Brantley,Brantley Police Department
AL0240300,City,,Dozier Police Department,Dozier,Dozier Police Department
AL0240400,City,,Glenwood Police Department,Glenwood,Glenwood Police Dept
AL0250000,County,,Cullman County Sheriff's Department,Cullman,Cullman County Sheriff's Office
AL0250100,City,,Cullman Police Department,Cullman,Cullman Police Department
AL0250200,City,,Hanceville Police Department,Hanceville,Hanceville Police Department
AL0250300,City,,Garden City Police Department,Garden City,Garden City PD
AL0250400,City,,Good Hope Police Department,Good Hope,Good Hope Police Department Cullman
AL0260000,County,,Dale County Sheriff's Department,Dale,Dale County Sheriff's Office
AL0260100,City,,Ozark Police Department,Ozark,Ozark Police Department
AL0260200,City,,Daleville Police Department,Daleville,Daleville Police Department
AL0260300,City,,Level Plains Police Department,Level Plains,Level Plains Police Department
AL0260400,City,,Napier Field Police Department,Napier Field,Napier Field Police Department
AL0260500,City,,Newton Police Department,Newton,Newton Police Department
AL0260600,City,,Midland City Police Department,Midland City,Midland City Police Department
AL0260700,City,,Pinckard Police Department,Pinckard,Pinckard Police Department
AL0260800,City,,Ariton Police Department,Ariton,Ariton Police Department
AL0260900,City,,Clayhatchee Police Department,Clayhatchee,Clayhatchee Police Department
AL0270000,County,,Dallas County Sheriff's Department,Dallas,Dallas County Sheriff's Office
AL0270100,City,,Selma Police Department,Selma,Selma Police Department
AL0270200,University or College,,Wallace Community College: Selma,Wallace Community College: Selma,Wallace Community College - Selma Police Dept
AL0280000,County,,DeKalb County Sheriff's Department,DeKalb,Dekalb County Sheriff's Office
AL0280100,City,,Fort Payne Police Department,Fort Payne,Fort Payne Police Department
AL0280200,City,,Collinsville Police Department,Collinsville,Collinsville Police Department
AL0280300,City,,Geraldine Police Department,Geraldine,Geraldine Police Department
AL0280400,City,,Henagar Police Department,Henagar,Henegar Police Department
AL0280500,City,,Powell Police Department,Powell,Powell Police Department
AL0280600,City,,Mentone Police Department,Mentone,Mentone Police Department
AL0280700,City,,Rainsville Police Department,Rainsville,Rainsville Police Department
AL0280800,City,,Hammondville Police Department,Hammondville,Hammondville Police Department
AL0281000,City,,Crossville Police Department,Crossville,Crossville Police Department
AL0281100,City,,Fyffe Police Department,Fyffe,Fyffe Police Department
AL0281200,City,,Sylvania Police Department,Sylvania,Sylvania Police Department
AL0281300,City,,Valley Head Police Department,Valley Head,Valley Head Police Department
AL0281400,City,,Ider Police Department,Ider,Ider Police Department
AL0290000,County,,Elmore County Sheriff's Department,Elmore,Elmore County Sheriff's Office
AL0290100,City,,Wetumpka Police Department,Wetumpka,Wetumpka Police Department
AL0290200,City,,Tallassee Police Department,Tallassee,Tallassee Police Department
AL0290300,City,,Eclectic Police Department,Eclectic,Eclectic Police Department
AL0290400,City,,Coosada Police Department,Coosada,Coosada Police Department
AL0290600,City,,Millbrook Police Department,Millbrook,Millbrook Police Department
AL0290700,Other,,Central Alabama Drug Task Force,Central Alabama Drug Task Force,
AL0300000,County,,Escambia County Sheriff's Department,Escambia,Escambia County Sheriff's Office
AL0300100,City,,Atmore Police Department,Atmore,Atmore Police Department
AL0300200,City,,Brewton Police Department,Brewton,Brewton Police Department
AL0300300,City,,East Brewton Police Department,East Brewton,East Brewton Police Department
AL0300400,City,,Flomaton Police Department,Flomaton,Flomaton Police Department
AL0310000,County,,Etowah County Sheriff's Department,Etowah,Etowah County Sheriff's Office
AL0310100,City,,Attalla Police Department,Attalla,Attalla Police Department
AL0310200,City,,Gadsden Police Department,Gadsden,Gadsden Police Department
AL0310300,Unknown,,Glencoe,Glencoe,
AL0310400,City,,Glencoe Police Department,Glencoe,Glencoe Police Department
AL0310500,City,,Rainbow City Police Department,Rainbow City,Rainbow City Police Department
AL0310600,City,,Hokes Bluff Police Department,Hokes Bluff,Hokes Bluff Police Department
AL0310700,City,,Southside Police Department,Southside,Southside Police Department
AL0310800,City,,Sardis City Police Department,Sardis City,Sardis City Police Department
AL0310900,City,,Altoona Police Department,Altoona,Altoona Police Department
AL0311000,City,,Walnut Grove Police Department,Walnut Grove,Walnut Grove PD
AL0312200,Other,,Etowah County Drug Enforcement Unit,Etowah County Drug Enforcement Unit,Etowah County Drug Enforcement Unit
AL0320000,County,,Fayette County Sheriff's Department,Fayette,Fayette County Sheriff's Office
AL0320100,City,,Fayette Police Department,Fayette,Fayette Police Department
AL0320200,City,,Berry Police Department,Berry,Berry Police Department
AL0330000,County,,Franklin County Sheriff's Department,Franklin,Franklin County Sheriff's Office
AL0330100,City,,Russellville Police Department,Russellville,Russellville Police Department
AL0330200,City,,Phil Campbell Police Department,Phil Campbell,Phil Campbell Police Department
AL0330300,City,,Red Bay Police Department,Red Bay,Red Bay Police Department
AL0330400,City,,Vina Police Department,Vina,Vina PD
AL0330500,City,,Hodges Police Department,Hodges,Hodges Police Dept
AL0340000,County,,Geneva County Sheriff's Department,Geneva,Geneva County Sheriff's Office
AL0340100,City,,Geneva Police Department,Geneva,Geneva Police Department
AL0340200,City,,Samson Police Department,Samson,Samson Police Department
AL0340300,City,,Hartford Police Department,Hartford,Hartford Police Department
AL0340400,City,,Slocomb Police Department,Slocomb,Slocomb Police Department
AL0340500,City,,Coffee Springs Police Department,Coffee Springs,Coffee Springs PD
AL0350000,County,,Greene County Sheriff's Department,Greene,Greene County Sheriff's Office
AL0350100,City,,Eutaw Police Department,Eutaw,Eutaw Police Department
AL0350200,City,,Forkland Police Department,Forkland,Forkland Police Department
AL0360000,County,,Hale County Sheriff's Department,Hale,Hale County Sheriff's Office
AL0360100,City,,Greensboro Police Department,Greensboro,Greensboro Police Department
AL0360200,City,,Moundville Police Department,Moundville,Moundville Police Department
AL0370000,County,,Henry County Sheriff's Department,Henry,Henry County Sheriff's Office
AL0370100,City,,Abbeville Police Department,Abbeville,Abbeville Police Department
AL0370200,City,,Headland Police Department,Headland,Headland Police Department
AL0370300,City,,Newville Police Department,Newville,Newville Police Dept
AL0380000,County,,Houston County Sheriff's Department,Houston,Houston County Sheriff's Office
AL0380100,City,,Dothan Police Department,Dothan,Dothan Police Department
AL0380200,City,,Ashford Police Department,Ashford,Ashford Police Department
AL0380300,City,,Gordon Police Department,Gordon,Gordon Police Department
AL0380400,City,,Columbia Police Department,Columbia,Columbia Police Department
AL0380500,City,,Cottonwood Police Department,Cottonwood,Cottonwood Police Department
AL0380600,City,,Kinsey Police Department,Kinsey,Kinsey Police Department
AL0380800,University or College,,Wallace Community College: Dothan,Wallace Community College: Dothan,Wallace Community College - Dothan Police
AL0380900,City,,Taylor Police Department,Taylor,Taylor Police Department
AL0381000,City,,Webb Police Department,Webb,Webb Police Department
AL0390000,County,,Jackson County Sheriff's Department,Jackson,Jackson County Sheriff's Office
AL0390100,City,,Scottsboro Police Department,Scottsboro,Scottsboro Police Department
AL0390200,City,,Bridgeport Police Department,Bridgeport,Bridgeport Police Department
AL0390300,City,,Stevenson Police Department,Stevenson,Stevenson Police Department
AL0390400,City,,Hollywood Police Department,Hollywood,Hollywood Police Department
AL0390500,City,,Pisgah Police Department,Pisgah,Pisgah Police Dept
AL0390600,City,,Dutton Police Department,Dutton,Dutton PD
AL0390700,City,,Section Police Department,Section,Section Police Department
AL0390800,City,,Woodville Police Department,Woodville,Woodville Police Department
AL0390900,City,,Skyline Police Department,Skyline,Skyline Police Department
AL0400000,County,,Lamar County Sheriff's Department,Lamar,Lamar County Sheriff's Office
AL0400100,City,,Sulligent Police Department,Sulligent,Sulligent Police Department
AL0400200,City,,Vernon Police Department,Vernon,Vernon Police Department
AL0400300,City,,Kennedy Police Department,Kennedy,Kennedy Police Dept
AL0400400,City,,Millport Police Department,Millport,Millport Police Department
AL0410000,County,,Lauderdale County Sheriff's Department,Lauderdale,Lauderdale County Sheriff's Office
AL0410100,City,,Florence Police Department,Florence,Florence Police Department
AL0410200,City,,Waterloo Police Department,Waterloo,Waterloo PD
AL0410300,City,,Anderson Police Department,Anderson,Anderson Police Department
AL0410400,City,,St. Florian Police Department,St. Florian,St. Florian Police Department
AL0410500,City,,Lexington Police Department,Lexington,Lexington Police Department
AL0410600,City,,Rogersville Police Department,Rogersville,Rogersville Police Department
AL0410700,City,,Killen Police Department,Killen,Killen Police Department
AL0410800,University or College,,University of North Alabama,University of North Alabama,University Of North Alabama Police Department
AL0420000,County,,Lawrence County Sheriff's Department,Lawrence,Lawrence County Sheriff's Office
AL0420100,City,,Moulton Police Department,Moulton,Moulton Police Department
AL0420200,City,,Town Creek Police Department,Town Creek,Town Creek Police Department
AL0420300,City,,Courtland Police Department,Courtland,Courtland Police Department
AL0420400,City,,Hillsboro Police Department,Hillsboro,Hillsboro Police Department
AL0420500,City,,North Courtland Police Department,North Courtland,North Courtland Police Department
AL0420600,Other,,Lawrence County Drug and Violent Crime Task Force,Lawrence County Drug and Violent Crime Task Force,
AL0430000,County,,Lee County Sheriff's Department,Lee,Lee County Sheriff's Office
AL0430100,City,,Auburn Police Department,Auburn,Auburn Police Department
AL0430200,City,,Opelika Police Department,Opelika,Opelika Police Department
AL0430300,University or College,,Auburn University: Main Campus,Auburn University: Main Campus,Auburn University Department Of Public Safety & Se
AL0440000,County,,Limestone County Sheriff's Department,Limestone,Limestone County Sheriff's Office
AL0440100,City,,Athens Police Department,Athens,Athens Police Department
AL0440200,City,,Ardmore Police Department,Ardmore,Ardmore Police Department
AL0440300,City,,Elkmont Police Department,Elkmont,Elkmont Police Department
AL0450000,County,,Lowndes County Sheriff's Department,Lowndes,Lowndes County Sheriff's Office
AL0450100,City,,Fort Deposit Police Department,Fort Deposit,Fort Deposit Police Department
